Customer,Margin Percent,Origin City,Destination City,Mode,Modes,Loads
REALSTONE SYSTEMS (64462-P1),16.0,TROY,HERNDON,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
SOURCE TRADING LA LLC (251925-P1),10.0,CHINO,SHOW LOW,LTL,LTL,SOURCE TRADING LA LLC (251925-P1)
GLOBAL FOODS INC (92503-P1),13.5,ROCHELLE,EAU CLAIRE,LTL,LTL,GLOBAL FOODS INC (92503-P1)
ELECTRIDUCT (52487-P1),15.0,SECAUCUS,POMPANO BEACH,LTL,LTL,ELECTRIDUCT (52487-P1)
WORLD DEPOT (100744-P1),12.0,ROSELLE,SEGUIN,Enterprise,Enterprise,WORLD DEPOT (100744-P1)
OCEAN ROCK USA (88679-P1),15.14,CORONA,LOS GATOS,LTL,LTL,OCEAN ROCK USA (88679-P1)
CST INTL GROUP INC (90098-P1),14.0,COMPTON,TAMPA,LTL,LTL,CST INTL GROUP INC (90098-P1)
.MICHAEL HSU CUSTOMER (96685-P1D),22.22,Chino,Denver,Truckload,Truckload,.MICHAEL HSU CUSTOMER (96685-P1D)
REALSTONE SYSTEMS (64462-P1),16.0,AURORA,OKLAHOMA CITY,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
GLOBAL CARTAGE INC (116473-P1),26.01,SIMI VALLEY,UPLAND,LTL,LTL,GLOBAL CARTAGE INC (116473-P1)
CODAN MX (247594-P1),33.08,SAINT PETERSBURG,SAN DIEGO,LTL,LTL,CODAN MX (247594-P1)
KOSTER KEUNEN MANUFACTURING INC (242096-P1),17.65,REHOBOTH,WATERTOWN,LTL,LTL,KOSTER KEUNEN MANUFACTURING INC (242096-P1)
WWTL GROUP LTD (238135-P1),13.56,GARDEN CITY,ELK GROVE VILLAGE,LTL,LTL,WWTL GROUP LTD (238135-P1)
WORLD DEPOT (100744-P1),15.0,JACKSON,AZUSA,LTL,LTL,WORLD DEPOT (100744-P1)
SURFACE FINISHING COMPANY LLC (96016-P1),16.0,LIBERTYVILLE,PARK CITY,LTL,LTL,SURFACE FINISHING COMPANY LLC (96016-P1)
PREMIER ORGANICS (95905-P1),0.0,Oakland,Fontana,Truckload Expedited,Truckload Expedited,PREMIER ORGANICS (95905-P1)
CLEANIS (108759-P1),21.86,CHICAGO,GRAYSLAKE,LTL,LTL,CLEANIS (108759-P1)
THE ABS COMPANY (97215-P1),12.0,MILWAUKEE,LAREDO,LTL,LTL,THE ABS COMPANY (97215-P1)
KULL LAVERDE TRUCKING (106577-P1),18.81,INDIANAPOLIS,PLAINFIELD,LTL,LTL,KULL LAVERDE TRUCKING (106577-P1)
CASTELLE FURNITURE CO INC (104930-P1),12.0,SARASOTA,SCOTTSDALE,LTL,LTL,CASTELLE FURNITURE CO INC (104930-P1)
GEAR BAGS (241593-P1),12.0,CHARLOTTE,WEST VALLEY CITY,LTL,LTL,GEAR BAGS (241593-P1)
WORLD DEPOT (100744-P1),12.5,ONTARIO,TERRY,LTL,LTL,WORLD DEPOT (100744-P1)
HIGOLD (96912-P1),19.5,FONTANA,CAPE CORAL,LTL,LTL,HIGOLD (96912-P1)
THE ABS COMPANY (97215-P1),10.53,MILWAUKEE,PERRIS,LTL,LTL,THE ABS COMPANY (97215-P1)
EVA'S ESTHETICS INC dba TUEL BERODIN (87411-P1),14.0,CONCORD,GLENWOOD SPRINGS,LTL,LTL,EVA'S ESTHETICS INC dba TUEL BERODIN (87411-P1)
PRESTIGE IMPORT GROUP (61593-P1),60.42,DEERFIELD BEACH,RUSTON,LTL,LTL,PRESTIGE IMPORT GROUP (61593-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,BRIDGETON,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
WOODSPUR FARMS (243219-P1),11.0,COACHELLA,DALLAS,LTL,LTL,WOODSPUR FARMS (243219-P1)
CLOUD F1 LLC dba THE ELEGANT BAR (114182-P1),27.0,CLIFTON HEIGHTS,FORT LAUDERDALE,LTL,LTL,CLOUD F1 LLC dba THE ELEGANT BAR (114182-P1)
GUARDIAN ACCESS & DOOR HARDWARE (50943-P1),13.5,DALLAS,ANAHEIM,LTL,LTL,GUARDIAN ACCESS & DOOR HARDWARE (50943-P1)
HYLIO INC (113143-P1),22.12,RICHMOND,COLLEGE STATION,LTL,LTL,HYLIO INC (113143-P1)
JARROW INDUSTRIES (109658-P1),24.37,Joliet,Santa Fe Springs,Truckload,Truckload,JARROW INDUSTRIES (109658-P1)
NOW MOVE USA (63649-P1),13.5,EDGEWOOD,BROOKLYN,LTL,LTL,NOW MOVE USA (63649-P1)
JIT USA LOGISTICS CORP (101120-P1),20.58,BILLERICA,WOOD DALE,LTL,LTL,JIT USA LOGISTICS CORP (101120-P1)
REALSTONE SYSTEMS (64462-P1),24.38,TROY,SARASOTA,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
CRUNCH TECH INC (247848-P1),0.0,Simi Valley,Rancho Dominguez,Truckload Expedited,Truckload Expedited,CRUNCH TECH INC (247848-P1)
OCEAN ROCK USA (88679-P1),18.87,CORONA,LOS ANGELES,LTL,LTL,OCEAN ROCK USA (88679-P1)
"THE STAPLETON GROUP, INC (235240-P1)",10.4,SPARKS,MESA,LTL,LTL,"THE STAPLETON GROUP, INC (235240-P1)"
GUARDIAN ACCESS & DOOR HARDWARE (50943-P1),13.5,DALLAS,PORT NECHES,LTL,LTL,GUARDIAN ACCESS & DOOR HARDWARE (50943-P1)
BOTE (99568-P1),100.0,Fort Walton Beach,Fort Lauderdale,Truckload Expedited,Truckload Expedited,BOTE (99568-P1)
POWER STEER INC (63189-P1),18.42,EL PASO,DALLAS,LTL,LTL,POWER STEER INC (63189-P1)
PUMPING SOLUTIONS (52530-P1),21.86,SPARKS,ONTARIO,LTL,LTL,PUMPING SOLUTIONS (52530-P1)
GILLIS & LANE INC (67037-P1),28.82,TULSA,MANOR,LTL,LTL,GILLIS & LANE INC (67037-P1)
SITMATIC USA (94646-P1),17.5,FULLERTON,ALBUQUERQUE,LTL,LTL,SITMATIC USA (94646-P1)
SILVERGATE SHIPPING INC (51355-P1),13.5,CHATTANOOGA,RIVERSIDE,LTL,LTL,SILVERGATE SHIPPING INC (51355-P1)
ALERTUS (246703-P1),11.0,BALTIMORE,PORT COQUITLAM,LTL,LTL,ALERTUS (246703-P1)
Z DENTAL (237281-P1),0.0,Commerce,Santa Ana,Truckload,Truckload,Z DENTAL (237281-P1)
REVOLVE WHEELS (255357-P1),11.45,RAMSEY,COVINA,LTL,LTL,REVOLVE WHEELS (255357-P1)
CASTELLE FURNITURE CO INC (104930-P1),18.19,SARASOTA,WILLIAMSBURG,LTL,LTL,CASTELLE FURNITURE CO INC (104930-P1)
PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1),16.62,TEMECULA,RANCHO CUCAMONGA,LTL,LTL,PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1)
EASYFLEX USA (58997-P1),20.0,Fletcher,Denton,Truckload,Truckload,EASYFLEX USA (58997-P1)
SDS NATIONAL (102907-P1),14.0,HOUSTON,EL PASO,LTL,LTL,SDS NATIONAL (102907-P1)
MARBLE SYSTEMS (243345-P1),12.89,FAIRFAX,COLUMBUS,LTL,LTL,MARBLE SYSTEMS (243345-P1)
WORLD DEPOT (100744-P1),12.5,CHINO,CARENCRO,LTL,LTL,WORLD DEPOT (100744-P1)
JL WINGERT COMPANY (88594-P1),16.71,GARDEN GROVE,KAYSVILLE,LTL,LTL,JL WINGERT COMPANY (88594-P1)
GILLIS & LANE INC (67037-P1),28.82,TULSA,MANOR,LTL,LTL,GILLIS & LANE INC (67037-P1)
EAST WEST TRADING (245683-P1),16.21,NILES,CLACKAMAS,LTL,LTL,EAST WEST TRADING (245683-P1)
AQUA ULTRAVIOLET (105519-P1),14.01,TEMECULA,GILBERT,LTL,LTL,AQUA ULTRAVIOLET (105519-P1)
EMPAVA APPLIANCES (251270-P1),10.0,LEANDER,CITY OF INDUSTRY,LTL,LTL,EMPAVA APPLIANCES (251270-P1)
JL WINGERT COMPANY (88594-P1),14.38,GARDEN GROVE,STONEHAM,LTL,LTL,JL WINGERT COMPANY (88594-P1)
RLT LOGISTICS GROUP LLC (60174-P1),13.5,ANDOVER,WALNUT,LTL,LTL,RLT LOGISTICS GROUP LLC (60174-P1)
CAL STATE SUPPLY (240034-P1),13.95,CHICAGO,IMPERIAL,LTL,LTL,CAL STATE SUPPLY (240034-P1)
