Customer,Margin Percent,Gross Margin,Variance Count,Variance %,loads,Win Ratio,Total Quotes
.COOPER STARKEL CUSTOMER (96684-P1D),20.02,$595,0,0%,2,8%,24
.DILLON KEEFE CUSTOMER (238676-P1),10.0,$98,1,50%,2,30%,23
.JOHN MEBANE CUSTOMER (96681-P1D),13.88,$303,0,0%,2,1%,100
.KALII KUNITOMO CUSTOMER (96689-P1D),16.84,$62,0,0%,1,17%,41
.MICHAEL HSU CUSTOMER (96685-P1D),15.97,$95,0,0%,1,0%,1
.MIKE LAHEY CUSTOMER (96682-P1D),10.0,$38,0,0%,1,5%,21
.TREVOR MARIONI CUSTOMER (96683-P1D),12.47,$-452,1,50%,2,10%,10
11 RAVENS LLC (66298-P1),23.32,"$7,858",16,52%,31,73%,75
180 SNACKS INC (86677-P1),23.63,"$1,831",6,40%,15,18%,93
1ST CLASS CIGAR HUMIDORS (67634-P1),40.72,"$29,348",47,31%,150,94%,142
"2GO PRODUCTS, LLC (230468-P1)",45.14,$807,2,40%,5,22%,23
A&B BRUSH MFG (51668-P1),18.87,"$2,033",4,9%,46,98%,47
A&M PREP SERVICES (240537-P1),46.72,$90,1,100%,1,7%,29
A1 TRANSLOGISTICS INC (69961-P1),25.48,$543,1,25%,4,3%,264
ABB MOTORS AND MECHANICAL INC (248704-P1),14.04,$66,0,0%,3,75%,4
ABD OFFICE SUPPLIES (50385-P1),12.88,"$1,116",10,56%,18,23%,167
ABD OFFICE SUPPLIES (50385-P1),14.66,$79,0,0%,2,23%,167
"AC CHEMICAL, LLC (232646-P1)",18.36,$386,1,14%,7,62%,13
AC FOLDING GATES (50513-P1),12.62,$588,3,33%,9,62%,84
"ACC CRAPPIESTIX, LLC (232333-P1)",33.34,$368,2,100%,2,100%,3
ACCUTEK IMAGING (88657-P1),18.52,"$2,659",9,35%,26,63%,38
ACKO (254031-P1),26.13,"$4,161",10,43%,23,38%,58
ACTION FREIGHT (59450-P1),22.31,"$14,736",9,19%,48,35%,100
ADS DENTAL SYSTEM INC (89993-P1),18.94,"$2,806",15,65%,23,95%,42
ADVANCED PET PRODUCTS (101633-P1),19.23,$362,3,43%,7,23%,30
ADVANTAGE LIGHTING SOLUTIONS (94035-P1),18.42,"$7,235",29,23%,124,44%,314
AFAM CONCEPTS INC (107890-P1),21.35,"$1,544",8,42%,19,19%,113
AFFORDABLE WIPERS (94566-P1),21.14,"$2,408",10,16%,64,21%,316
AG MACHINING (231851-P1),20.37,"$1,979",0,0%,5,44%,9
AG OFFICE FURNITURE (100939-P1),16.22,$919,6,35%,17,47%,36
AIR FILTERS NORTHWEST (254520-P1),11.16,$316,0,0%,2,33%,6
AIR GREEN USA (104074-P1),12.0,$187,2,100%,2,17%,18
AIR TIGER EXPRESS USA (87243-P1),20.24,"$7,626",1,6%,16,46%,28
AK ATHLETIC EQUIPMENT INC (102634-P1),12.98,"$3,390",20,31%,64,14%,418
"AL NU PRODUCTS INC, DBA US PEACEKEEPER (52712-P1)",22.76,"$1,710",12,57%,21,55%,38
ALE 8 ONE BOTTLING (103739-P1),25.38,"$1,406",3,60%,5,20%,20
ALEDDRA (105055-P1),14.14,$712,7,39%,18,86%,21
ALERTUS (246703-P1),14.24,$822,4,29%,14,62%,26
ALFA CANTOR (95923-P1),19.4,"$1,131",1,20%,5,13%,52
ALG LIGHTING DBA MW LIGHTING (84578-P1),14.55,$625,4,33%,12,20%,103
ALIGNED MEDICAL SOLUTIONS (104631-P1),11.5,$407,1,25%,4,44%,9
ALINEA INC (108142-P1),12.8,$178,0,0%,2,100%,2
ALL AMERICAN LOCK CORPORATION (93605-P1),22.0,$58,0,0%,1,33%,3
ALL ELECTRONICS CORPORATION (103028-P1),11.0,$34,0,0%,1,20%,5
ALL FASTENERS - CA (87031-P1),28.92,$366,1,50%,2,5%,38
ALL FOREIGN AUTO PARTS. (84825-P1),20.2,$213,6,120%,5,80%,5
ALL STAR LIGHTING SUPPLIES INC (95550-P1),15.16,"$1,282",10,28%,36,29%,129
ALL TRUCKS FOREIGN - DNS (84840-P1),22.23,$83,1,50%,2,33%,6
ALL TRUCKS RECYCLING (239319-P1),18.92,$126,0,0%,2,40%,5
ALLIANCE GLAZING TECHNOLOGIES (243998-P1),15.86,$60,1,100%,1,100%,1
ALLIED WHEEL COMPONENTS (242513-P1),12.02,$627,1,12%,8,9%,77
ALLMAN PRODUCTS INC (232259-P1),17.92,$340,1,17%,6,43%,21
ALLOCACOC (50262-P1),12.5,$39,1,100%,1,50%,2
ALPINE CORPORATION (85281-P1),15.37,"$7,524",12,27%,45,10%,600
ALTA HEALTH SUPPLIES (230614-P1),19.98,$984,3,33%,9,27%,33
ALTECH (42761-P1),12.78,$224,0,0%,2,17%,6
ALTECH ELECTRONICS (110481-P1),15.13,"$4,622",33,24%,136,79%,183
ALUMINUM TANK INDUSTRIES (99584-P1),24.88,"$4,951",7,16%,44,17%,263
ALVANTOR (109409-P1),28.11,"$5,309",12,52%,23,35%,79
AMAN & BAIDA ENTERPRISE DBA TIRES STUDIO (99704-P1),11.06,$20,0,0%,1,30%,23
AMERAMARK (51774-P1),16.8,$314,1,17%,6,35%,17
AMERICA CUSTOMS BROKERAGE INC (251650-P1),10.0,$79,0,0%,2,32%,22
AMERICAN CREMATORY EQUIPMENT (81213-P1),21.73,"$7,598",11,33%,33,65%,54
AMERICAN FISHING TACKLE COMPANY (94432-P1),45.47,$344,1,50%,2,33%,6
AMERICAN RECLAIMED WOOD FLOORS (242272-P1),18.33,$327,1,100%,1,2%,44
AMERICAN STANDARD COATINGS (65706-P1),15.33,$684,1,25%,4,14%,36
AMERICAN WHEEL SPECIALIST INC (95643-P1),17.35,"$1,168",2,33%,6,28%,25
AMOY INTERNATIONAL LLC (68887-P1),20.2,$138,1,100%,1,0%,11
"AMROS INDUSTRIES, INC. (232468-P1)",30.96,$34,0,0%,1,100%,1
AMTURF ENTERPRISE (97182-P1),14.28,$24,0,0%,1,25%,4
ANDERSON MOULDS INC (112538-P1),16.34,$256,1,20%,5,47%,17
ANION PERFORMANCE CHEMICALS (101294-P1),16.96,$366,2,18%,11,75%,16
ANJOEE EXPRESS INTL (230607-P1),15.26,"$1,496",6,30%,20,21%,103
ANNEX GLOBAL LOGISTICS (97172-P1),13.36,$211,2,40%,5,26%,23
ANTHELA FOODS INC (117017-P1),23.11,$191,5,125%,4,62%,8
ANTOP (50570-P1),13.07,$953,8,53%,15,79%,19
APOLLO DISTRIBUTORS (241937-P1),13.66,$411,1,14%,7,11%,64
AQUA EQUIP TECHNOLOGIES LLC (116484-P1),33.29,"$3,254",1,25%,4,15%,13
AQUA ULTRAVIOLET (105519-P1),15.91,"$1,738",4,17%,23,42%,72
AQUAVIAN FREIGHT (65967-P1),18.59,"$2,146",7,50%,14,50%,30
ARCHIPELAGO LIGHTING (51222-P1),16.05,$25,0,0%,1,12%,17
ARCHITECTURAL AUGMENTATIONS (235460-P1),24.55,$581,2,50%,4,50%,10
"ARCHITECTURAL MALL, INC (234105-P1)",21.69,"$2,397",11,55%,20,38%,73
ARGONIDE CORPORATION (105751-P1),17.2,"$1,138",5,25%,20,78%,23
ARROW COMMODITIES (245820-P1),32.96,$295,0,0%,1,,
ARTEK (51669-P1),28.14,$237,1,50%,2,12%,17
ARTISAN PANELS (103745-P1),25.2,"$2,326",7,35%,20,51%,47
ARUVIL INTERNATIONAL INC (65729-P1),18.03,"$1,690",7,27%,26,90%,29
ASE SUPPLY INC / THERMO BY PRODUCTS (234944-P1),13.75,"$1,558",5,26%,19,48%,58
ASHTEL STUDIOS (107999-P1),15.78,"$1,126",4,27%,15,50%,32
ASL GROUP DBA SOGNARE TILES & STONE (66564-P1),20.36,$188,1,33%,3,50%,20
ASTC GLOBAL (250156-P1),15.89,"$3,058",21,66%,32,52%,79
"ASTRO-COOLER, INC. (255193-P1)",15.64,$350,1,50%,2,25%,4
AT INDUSTRIAL PRODUCTS (236117-P1),17.54,"$1,447",1,8%,13,65%,20
ATHENA MEDICAL PRODUCTS INC (97179-P1),17.96,$788,5,28%,18,78%,23
ATHENA POWER (63059-P1),13.1,$121,1,20%,5,22%,18
ATLANTIC TOWERS (247143-P1),18.91,"$5,274",16,33%,48,55%,86
ATLAS INVESTMENT HOLDINGS INC (111243-P1),13.2,"$1,093",0,0%,2,,
ATM TECH PRO (248955-P1),24.11,$68,1,100%,1,50%,2
AUSCREE INC DBA ADAM SOLUTIONS (111077-P1),13.84,$110,1,50%,2,20%,5
AVALON INTERNATIONAL ALUMINUM (230375-P1),12.52,$159,0,0%,3,40%,10
AVERYS BEVERAGES (102238-P1),23.72,"$1,394",5,45%,11,46%,28
AXESS PRODUCTS CORP (240512-P1),12.08,$25,0,0%,1,12%,8
AZ TRUCKING EXPRESS (234265-P1),14.94,"$1,099",3,60%,5,9%,58
AZUSA ENGINEERING (50235-P1),17.88,$259,0,0%,3,15%,27
BADAXX TACTICAL (242308-P1),22.26,$50,0,0%,1,33%,3
BAKERS SIGNS (245577-P1),20.45,$359,0,0%,1,20%,5
BALL&SEAT SPECIALTY CO (102533-P1),17.54,$468,0,0%,8,100%,10
BAMBOO 54 (61019-P1),15.08,$112,2,67%,3,16%,19
BAREBONES (241337-P1),25.79,$200,0,0%,1,0%,1
BAY LINE TOOL & EQUIPMENT (93996-P1),15.61,$473,1,7%,14,31%,59
BBQGRILLS.COM (83094-P1),16.78,"$1,456",8,28%,29,17%,179
BEACON MANAGEMENT INC (50485-P1),36.85,$231,0,0%,4,18%,22
BEAUTY TALK LLC (113188-P1),22.41,$300,0,0%,1,100%,1
BELLINI HOME AND GARDEN (94415-P1),16.1,$225,1,25%,4,33%,15
BEN SOLEIMANI - LA (254390-P1),22.96,$938,0,0%,9,33%,24
BENNER CHINA & GLASSWARE INC (112412-P1),16.74,"$3,312",29,28%,105,29%,358
BEST SHEET METAL (50790-P1),18.79,"$3,677",9,33%,27,46%,65
BEST USED MEDICAL EQUIPMENT (246690-P1),20.67,$355,1,25%,4,10%,39
"BESTOCEAN WORLDWIDE LOGISTICS, INC. (235457-P1)",40.0,$100,0,0%,1,0%,9
BG WHOLESALE TRADING INC (88722-P1),39.71,$156,0,0%,1,100%,1
BLAST COAT SYSTEMS INC. (81249-P1),12.0,$85,0,0%,1,33%,3
BLEEKER BROS (252146-P1),24.02,"$1,100",0,0%,2,100%,1
BLOOMLITE SOLUTIONS INC (111839-P1),18.22,$30,0,0%,1,,
BLUE COMMERCE INC (233578-P1),15.61,$327,0,0%,2,18%,11
BLUE LAKE PARTNERS (50458-P1),19.07,"$2,975",5,22%,23,58%,38
"BLUE ROBINS, INC (67173-P1)",27.08,"$3,402",7,32%,22,69%,51
BLUESUN SOLAR CO LTD (116672-P1),15.71,"$3,580",2,20%,10,9%,65
BLUEZONE PRODUCTS (113478-P1),26.53,$656,0,0%,6,56%,9
BMB ENTERPRISES (231822-P1),21.2,$300,1,100%,1,50%,2
BNX SHIPPING INC (81068-P1),13.62,$308,2,25%,8,31%,36
BOLIDE TECHNOLOGY GROUP (104073-P1),15.44,"$8,604",24,27%,89,87%,105
BORRAYS PLASTICS (52348-P1),23.35,"$3,775",15,33%,45,86%,50
BOSS INNOVATIONS (51666-P1),25.76,$68,0,0%,2,50%,4
BOTE (99568-P1),24.29,"$8,030",0,0%,21,,
BOTNER (90395-P1),36.06,"$1,209",1,25%,4,100%,2
