Customer,Total Quotes,Quotes Won,Quote Date
.A1 TRANSLOGISTICS CUSTOMER,1.0,0.0,2022-09
.A1 TRANSLOGISTICS CUSTOMER,1.0,0.0,2022-10
ATLANTIQUE PACIFIQUE,1.0,0.0,2022-09
ATLANTIQUE PACIFIQUE,1.0,0.0,2022-10
CHIPSALZ INC,1.0,0.0,2022-09
CHIPSALZ INC,1.0,1.0,2022-10
CHIPSALZ INC,1.0,0.0,2022-10
CHIPSALZ INC,1.0,0.0,2022-10
CHIPSALZ INC,1.0,0.0,2022-11
CHIPSALZ INC,1.0,1.0,2022-11
CHIPSALZ INC,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-09
ALE 8 ONE BOTTLING,1.0,0.0,2022-09
ALE 8 ONE BOTTLING,1.0,0.0,2022-09
ALE 8 ONE BOTTLING,1.0,1.0,2022-09
ALE 8 ONE BOTTLING,1.0,1.0,2022-10
ALE 8 ONE BOTTLING,1.0,0.0,2022-10
ALE 8 ONE BOTTLING,1.0,0.0,2022-10
ALE 8 ONE BOTTLING,1.0,0.0,2022-10
ALE 8 ONE BOTTLING,1.0,1.0,2022-11
ALE 8 ONE BOTTLING,1.0,1.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,0.0,2022-11
ALE 8 ONE BOTTLING,1.0,1.0,2022-11
ALE 8 ONE BOTTLING,1.0,1.0,2022-12
ALE 8 ONE BOTTLING,1.0,0.0,2022-12
ALE 8 ONE BOTTLING,1.0,0.0,2022-12
ALE 8 ONE BOTTLING,1.0,0.0,2022-12
ALE 8 ONE BOTTLING,1.0,0.0,2022-12
ALE 8 ONE BOTTLING,1.0,0.0,2022-12
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-10
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-10
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,1.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-11
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-12
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-12
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-12
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-12
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-12
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-12
ALEX MITCHELL CUSTOMER,1.0,0.0,2022-12
ALLMAN PRODUCTS INC,1.0,1.0,2022-10
ALLMAN PRODUCTS INC,1.0,0.0,2022-10
ALLMAN PRODUCTS INC,1.0,0.0,2022-10
ALLMAN PRODUCTS INC,1.0,1.0,2022-10
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,1.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,1.0,2022-11
ALLMAN PRODUCTS INC,1.0,1.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,1.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,1.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
ALLMAN PRODUCTS INC,1.0,0.0,2022-11
AMERICAN PLANT & EQUIPMENT INC,1.0,0.0,2022-11
AMERICAN PLANT & EQUIPMENT INC,1.0,0.0,2022-12
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,0.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,0.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-09
ASHTEL STUDIOS,1.0,1.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-10
ASHTEL STUDIOS,1.0,1.0,2022-10
ASHTEL STUDIOS,1.0,1.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-10
ASHTEL STUDIOS,1.0,1.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-10
ASHTEL STUDIOS,1.0,0.0,2022-11
ASHTEL STUDIOS,1.0,1.0,2022-11
ASHTEL STUDIOS,1.0,1.0,2022-11
ASHTEL STUDIOS,1.0,1.0,2022-12
ASHTEL STUDIOS,1.0,1.0,2022-12
ASHTEL STUDIOS,1.0,1.0,2022-12
ASHTEL STUDIOS,1.0,0.0,2022-12
ASHTEL STUDIOS,1.0,0.0,2022-12
ASHTEL STUDIOS,1.0,0.0,2022-12
ASHTEL STUDIOS,1.0,0.0,2022-12
ASHTEL STUDIOS,1.0,0.0,2022-12
ASHTEL STUDIOS,1.0,1.0,2022-12
AURORA MOTORS,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-09
AVERYS BEVERAGES,1.0,1.0,2022-10
AVERYS BEVERAGES,1.0,1.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,1.0,2022-10
AVERYS BEVERAGES,1.0,1.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-10
AVERYS BEVERAGES,1.0,1.0,2022-10
AVERYS BEVERAGES,1.0,1.0,2022-10
AVERYS BEVERAGES,1.0,0.0,2022-11
AVERYS BEVERAGES,1.0,1.0,2022-11
AVERYS BEVERAGES,1.0,1.0,2022-12
AVERYS BEVERAGES,1.0,1.0,2022-12
AVERYS BEVERAGES,1.0,0.0,2022-12
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,0.0,2022-11
BEN SOLEIMANI - LA,1.0,1.0,2022-11
BEN SOLEIMANI - LA,1.0,1.0,2022-12
BEN SOLEIMANI - LA,1.0,1.0,2022-12
BEN SOLEIMANI - LA,1.0,1.0,2022-12
BEN SOLEIMANI - LA,1.0,1.0,2022-12
BEN SOLEIMANI - LA,1.0,1.0,2022-12
BEN SOLEIMANI - LA,1.0,1.0,2022-12
BEN SOLEIMANI - LA,1.0,1.0,2022-12
BEN SOLEIMANI - LA,1.0,0.0,2022-12
BEN SOLEIMANI - LA,1.0,0.0,2022-12
BEN SOLEIMANI - LA,1.0,0.0,2022-12
BISON COOLERS LLC,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-09
BOTANX,1.0,1.0,2022-09
BOTANX,1.0,0.0,2022-09
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-10
BOTANX,1.0,0.0,2022-11
BOTANX,1.0,0.0,2022-11
BOTANX,1.0,0.0,2022-11
BOTANX,1.0,0.0,2022-11
BOTANX,1.0,0.0,2022-11
BOTANX,1.0,0.0,2022-11
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,1.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,1.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,1.0,2022-10
BROCK TRANSPORTATION,1.0,1.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-10
BROCK TRANSPORTATION,1.0,0.0,2022-11
BROCK TRANSPORTATION,1.0,1.0,2022-11
BROCK TRANSPORTATION,1.0,1.0,2022-11
BROCK TRANSPORTATION,1.0,0.0,2022-12
BROCK TRANSPORTATION,1.0,1.0,2022-12
BROCK TRANSPORTATION,1.0,1.0,2022-12
BROCK TRANSPORTATION,1.0,0.0,2022-12
BROCK TRANSPORTATION,1.0,1.0,2022-12
BROCK TRANSPORTATION,1.0,0.0,2022-12
CAPITAL ELECTRIC SUPPLY - MD,1.0,0.0,2022-09
CAPITAL ELECTRIC SUPPLY - MD,1.0,0.0,2022-09
CAPITAL ELECTRIC SUPPLY - MD,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,1.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
CLOSEOUT SURPLUS & SAVINGS LLC,1.0,0.0,2022-09
